id,created_dttm,title,tags,encoded_content
bf7a26d1-c317-4d9b-a709-6e6593c5914c,2025-10-09T04:38,회의 일정 조정,event_planning-arts,eyJ0dXJucyI6IFt7InJvbGUiOiAidXNlciIsICJ0ZXh0IjogIkNhbiB5b3UgaGVscCBkcmFmdCBhIGNvbmNpc2Ugc3VtbWFyeSBhbmQgYWN0aW9uIGl0ZW1zPyJ9LCB7InJvbGUiOiAiYXNzaXN0YW50IiwgInRleHQiOiAiSGVyZSBpcyBhIDMtZGF5IHBsYW4gd2l0aCBlc3RpbWF0ZWQgY29zdHMuIn0sIHsicm9sZSI6ICJ1c2VyIiwgInRleHQiOiAiVGhhdCB3b3Jrc+KAlGNvdWxkIHlvdSBtYWtlIGl0IG1vcmUgY29uY2lzZT8ifV19
d44033ab-e35d-4fb5-98b8-b03ceadf7810,2025-10-14T08:10,Holiday Party Planning,health-social_services-communication,eyJ0dXJucyI6IFt7InJvbGUiOiAidXNlciIsICJ0ZXh0IjogIkNhbiB5b3UgaGVscCBkcmFmdCBhIGNvbmNpc2Ugc3VtbWFyeSBhbmQgYWN0aW9uIGl0ZW1zPyJ9LCB7InJvbGUiOiAiYXNzaXN0YW50IiwgInRleHQiOiAiQWNrbm93bGVkZ2Vk4oCUdGhpcyB0ZW1wbGF0ZSBjb25maXJtcyByZWNlaXB0IGFuZCBzZXRzIGV4cGVjdGF0aW9ucy4ifSwgeyJyb2xlIjogInVzZXIiLCAidGV4dCI6ICJUaGF0IHdvcmtz4oCUY291bGQgeW91IG1ha2UgaXQgbW9yZSBjb25jaXNlPyJ9LCB7InJvbGUiOiAiYXNzaXN0YW50IiwgInRleHQiOiAiSGVyZSdzIGEgY29uY2lzZSBlbWFpbCB0ZW1wbGF0ZSB3aXRoIGEgY2xlYXIgY2FsbCB0byBhY3Rpb24uIn1dfQ==
918bca10-eabb-4cf7-9cba-6f1890d1929f,2025-10-02T05:50,Bug Reproduction Steps,operations-staffing,eyJ0dXJucyI6IFt7InJvbGUiOiAidXNlciIsICJ0ZXh0IjogIlBsZWFzZSBvdXRsaW5lIGEgMy1kYXkgaXRpbmVyYXJ5IHdpdGggYnVkZ2V0IHRpcHMuIn0sIHsicm9sZSI6ICJhc3Npc3RhbnQiLCAidGV4dCI6ICJIZXJlJ3MgYSBjb25jaXNlIGVtYWlsIHRlbXBsYXRlIHdpdGggYSBjbGVhciBjYWxsIHRvIGFjdGlvbi4ifSwgeyJyb2xlIjogInVzZXIiLCAidGV4dCI6ICJUaGF0IHdvcmtz4oCUY291bGQgeW91IG1ha2UgaXQgbW9yZSBjb25jaXNlPyJ9XX0=
4562ae6e-cdad-4a66-bcb6-9a2d4bfc9f7b,2025-10-03T12:50,Coverage Schedule Swap,operations-staffing,eyJ0dXJucyI6IFt7InJvbGUiOiAidXNlciIsICJ0ZXh0IjogIkJyYWluc3Rvcm0gd2F5cyB0byB2aXN1YWxpemUgcXVhcnRlcmx5IG1ldHJpY3MuIn0sIHsicm9sZSI6ICJhc3Npc3RhbnQiLCAidGV4dCI6ICJIZXJlIGlzIGEgMy1kYXkgcGxhbiB3aXRoIGVzdGltYXRlZCBjb3N0cy4ifV19
3a4d9586-7eb4-47d5-b230-03863570d590,2025-10-06T18:02,DAU Weekly Report,hr-people_ops,eyJ0dXJucyI6IFt7InJvbGUiOiAidXNlciIsICJ0ZXh0IjogIkNhbiB5b3UgaGVscCBkcmFmdCBhIGNvbmNpc2Ugc3VtbWFyeSBhbmQgYWN0aW9uIGl0ZW1zPyJ9LCB7InJvbGUiOiAiYXNzaXN0YW50IiwgInRleHQiOiAiVXNlIGEgc21hbGwgbXVsdGlwbGVzIGNoYXJ0IGFuZCBhIHNpbmdsZSBzdW1tYXJ5IEtQSSBhdCB0aGUgdG9wLiJ9LCB7InJvbGUiOiAidXNlciIsICJ0ZXh0IjogIlRoYXQgd29ya3PigJRjb3VsZCB5b3UgbWFrZSBpdCBtb3JlIGNvbmNpc2U/In0sIHsicm9sZSI6ICJhc3Npc3RhbnQiLCAidGV4dCI6ICJVc2UgYSBzbWFsbCBtdWx0aXBsZXMgY2hhcnQgYW5kIGEgc2luZ2xlIHN1bW1hcnkgS1BJIGF0IHRoZSB0b3AuIn1dfQ==
eeda904f-b25d-4e1d-b552-b88e99445fde,2025-10-10T23:04,Excel Update & Visuals,medicine-health,eyJ0dXJucyI6IFt7InJvbGUiOiAidXNlciIsICJ0ZXh0IjogIkRyYWZ0IGEgcmVzcG9uc2UgYWNrbm93bGVkZ2luZyByZWNlaXB0IG9mIGZvcm1zLiJ9LCB7InJvbGUiOiAiYXNzaXN0YW50IiwgInRleHQiOiAiVGhlIGVycm9yIG9jY3VycyB3aGVuIGFjY2Vzc2luZyBhbiBpbmRleCB0aGF0IGRvZXMgbm90IGV4aXN0OyBhZGQgYSBib3VuZHMgY2hlY2suIn1dfQ==
ee98278c-bd52-4013-bbb2-ac0ff4797006,2025-10-08T08:42,Medication Prior Authorization,event_planning-arts,eyJ0dXJucyI6IFt7InJvbGUiOiAidXNlciIsICJ0ZXh0IjogIlBsZWFzZSBvdXRsaW5lIGEgMy1kYXkgaXRpbmVyYXJ5IHdpdGggYnVkZ2V0IHRpcHMuIn0sIHsicm9sZSI6ICJhc3Npc3RhbnQiLCAidGV4dCI6ICJVc2UgYSBzbWFsbCBtdWx0aXBsZXMgY2hhcnQgYW5kIGEgc2luZ2xlIHN1bW1hcnkgS1BJIGF0IHRoZSB0b3AuIn0sIHsicm9sZSI6ICJ1c2VyIiwgInRleHQiOiAiVGhhdCB3b3Jrc+KAlGNvdWxkIHlvdSBtYWtlIGl0IG1vcmUgY29uY2lzZT8ifSwgeyJyb2xlIjogImFzc2lzdGFudCIsICJ0ZXh0IjogIlRoZXNlIGFyZSB0aGUgY29yZSB0YWtlYXdheXMgYW5kIHN1Z2dlc3RlZCBmb2xsb3ctdXBzLiJ9XX0=
6047bee0-30c5-41ab-a76c-0868b689cd0d,2025-10-14T22:22,新对话,hr-people_ops,eyJ0dXJucyI6IFt7InJvbGUiOiAidXNlciIsICJ0ZXh0IjogIlBsZWFzZSBvdXRsaW5lIGEgMy1kYXkgaXRpbmVyYXJ5IHdpdGggYnVkZ2V0IHRpcHMuIn0sIHsicm9sZSI6ICJhc3Npc3RhbnQiLCAidGV4dCI6ICJVc2UgYSBzbWFsbCBtdWx0aXBsZXMgY2hhcnQgYW5kIGEgc2luZ2xlIHN1bW1hcnkgS1BJIGF0IHRoZSB0b3AuIn1dfQ==
7114793b-7b83-4362-8157-2d83d337e4e5,2025-10-15T04:45,DAU Weekly Report,medicine-health,eyJ0dXJucyI6IFt7InJvbGUiOiAidXNlciIsICJ0ZXh0IjogIlBsZWFzZSBvdXRsaW5lIGEgMy1kYXkgaXRpbmVyYXJ5IHdpdGggYnVkZ2V0IHRpcHMuIn0sIHsicm9sZSI6ICJhc3Npc3RhbnQiLCAidGV4dCI6ICJBY2tub3dsZWRnZWTigJR0aGlzIHRlbXBsYXRlIGNvbmZpcm1zIHJlY2VpcHQgYW5kIHNldHMgZXhwZWN0YXRpb25zLiJ9LCB7InJvbGUiOiAidXNlciIsICJ0ZXh0IjogIlRoYXQgd29ya3PigJRjb3VsZCB5b3UgbWFrZSBpdCBtb3JlIGNvbmNpc2U/In1dfQ==
edcc68a3-05c7-4518-a9a7-f886452672f9,2025-10-02T20:34,MRI Protocol Questions,general,eyJ0dXJucyI6IFt7InJvbGUiOiAidXNlciIsICJ0ZXh0IjogIldyaXRlIGEgc2hvcnQgZW1haWwgYXNraW5nIGZvciBtZWV0aW5nIGF2YWlsYWJpbGl0eS4ifSwgeyJyb2xlIjogImFzc2lzdGFudCIsICJ0ZXh0IjogIkhlcmUgaXMgYSBzbGlkZSBvdXRsaW5lIHdpdGggdGl0bGUsIGFnZW5kYSwgYW5kIGNsb3Npbmcgc3VtbWFyeS4ifSwgeyJyb2xlIjogInVzZXIiLCAidGV4dCI6ICJUaGF0IHdvcmtz4oCUY291bGQgeW91IG1ha2UgaXQgbW9yZSBjb25jaXNlPyJ9LCB7InJvbGUiOiAiYXNzaXN0YW50IiwgInRleHQiOiAiQWNrbm93bGVkZ2Vk4oCUdGhpcyB0ZW1wbGF0ZSBjb25maXJtcyByZWNlaXB0IGFuZCBzZXRzIGV4cGVjdGF0aW9ucy4ifV19
